key,summary,description,assignee
AIRFLOW-5503,Tree view layout on HDPI displays broken,"The tree view layout on HDPI displays is broken and doesn't make good usage of screen space.

Associated pull request fixes the issue by using devicePixelRatio: [https://developer.mozilla.org/en-US/docs/Web/API/Window/devicePixelRatio]

Please see attachments for the before and after of applying this patch",robinedwards
AIRFLOW-5495,Remove unneeded parens in dataproc.py,"Note: This ticket's being created to facilitate a new contributor's workshop for Airflow. After the workshop has completed, I'll mark these all available for anyone that might like to take them on.

The parens around {{self.custom_image_project_id}} don't need to be there; we should remove them.

airflow/gcp/operators/dataproc.py:409
{code:java}
elif self.custom_image:
    project_id = self.custom_image_project_id if (self.custom_image_project_id) else self.project_id
    custom_image_url = 'https://www.googleapis.com/compute/beta/projects/' \ {code}",adankro
AIRFLOW-5482,Deprecate Schedule Interval on task level,It has been 4 years since it was deprecated. [https://github.com/apache/airflow/commit/3e8bb2abf18c3a130c52288e25f5f7d114e407ad],kaxilnaik
AIRFLOW-5481,Allow Deleting Renamed DAGs,"If we rename a dag_id but do not rename the file, then we cannot delete the old dag.",kaxilnaik
AIRFLOW-5479,Normalize get_conn method in GCP Kubernetes hook,,tobked
AIRFLOW-5477,Rewrite Google PubSub Hook to Google Cloud Python,,tobked
AIRFLOW-5476,Typo in BREEZE.rst,You can choose the optional flags you need with breez+s+ → You can choose the optional flags you need with breez+e+,dongjin.lee.kr
AIRFLOW-5474,Add Basic Auth to Druid hook,Use login and password from druid ingestion connection to add Basic HTTP auth to druid hook. If login and/or password is None then ensure hook still works.,awelsh93
AIRFLOW-5471,Fix docstring in GcpTransferServiceOperationsListOperator,,tobked
AIRFLOW-5470,Add Apache Livy REST operator,"Add a hook, operator and sensor to post and monitor Spark batches through the Apache Livy REST API.

[https://livy.incubator.apache.org/docs/latest/rest-api.html]",luca cavazzana
AIRFLOW-5469,Airflow CLI render error on unicode in the stdout,"As a non-English user, lots of my hive scripts come along with unicode characters as string values. The hive queries render correctly on Web, but not in CLI. Below is the log of the render output:
{quote}/usr/local/lib/python2.7/dist-packages/airflow/utils/helpers.py:385: DeprecationWarning: Importing 'HivePartitionSensor' directly from 'airflow.operators' has been deprecated. Please import from 'airflow.operators.[operator_module]' instead. Support for direct imports will be dropped entirely in Airflow 2.0.

DeprecationWarning)

/usr/local/lib/python2.7/dist-packages/airflow/utils/helpers.py:385: DeprecationWarning: Importing 'EmailOperator' directly from 'airflow.operators' has been deprecated. Please import from 'airflow.operators.[operator_module]' instead. Support for direct imports will be dropped entirely in Airflow 2.0.

DeprecationWarning)

/usr/local/lib/python2.7/dist-packages/airflow/models.py:4007: PendingDeprecationWarning: The requested task could not be added to the DAG because a task with task_id emails_done is already in the DAG. Starting in Airflow 2.0, trying to overwrite a task will raise an exception.

category=PendingDeprecationWarning)

Traceback (most recent call last):

File ""/usr/local/bin/airflow"", line 32, in <module>

args.func(args)

File ""/usr/local/lib/python2.7/dist-packages/airflow/utils/cli.py"", line 74, in wrapper

return f(*args, **kwargs)

File ""/usr/local/lib/python2.7/dist-packages/airflow/bin/cli.py"", line 601, in render

"""""".format(attr, getattr(task, attr))))

UnicodeEncodeError: 'ascii' codec can't encode characters in position 2138-2139: ordinal not in range(128)

exitCode 1
{quote}
 The issue is simply the string format in the render function doesn't support unicode. [https://github.com/apache/airflow/blob/1.10.0/airflow/bin/cli.py#L603]",congzzz
AIRFLOW-5467,"Tasks in the subdag not cleared when dag_id contains ""."" and starts after retry","Tasks in the subdag not cleared when dag_id contains ""."" and starts after retry",youkio
AIRFLOW-5459,use a dynamic tmp location in dataflow operator,use a dynamic tmp location in dataflow operator,marengaz
AIRFLOW-5451,Spark Submit Hook don't set namespace if default,,fokko
