key,summary,description,assignee
HADOOP-15994,Upgrade Jackson2 to the latest version,Now Jackson 2.9.5 is used and it is vulnerable (CVE-2018-11307). Let's upgrade to 2.9.6 or upper.,jack-lee
HADOOP-15990,S3AFileSystem.verifyBucketExists to move to s3.doesBucketExistV2,"in S3AFileSystem.initialize(), we check for the bucket existing with verifyBucketExists(), which calls s3.doesBucketExist(). But that doesn't check for auth issues. 

s3. doesBucketExistV2() does at least validate credentials, and should be switched to. This will help things fail faster 

See SPARK-24000

(this is a dupe of HADOOP-15409; moving off git PRs so we can get yetus to test everything)",jack-lee
HADOOP-15989,Synchronized at CompositeService#removeService is not required,"Synchronization at CompositeService#removeService method level is not required.

{code}
protected synchronized boolean removeService(Service service) {
synchronized (serviceList) {
return serviceList.remove(service);
}
}
{code}",prabhu joseph
HADOOP-15988,Should be able to set empty directory flag to TRUE in DynamoDBMetadataStore#innerGet when using authoritative directory listings,"We have the following comment and implementation in DynamoDBMetadataStore:
{noformat}
        // When this class has support for authoritative
        // (fully-cached) directory listings, we may also be able to answer
        // TRUE here.  Until then, we don't know if we have full listing or
        // not, thus the UNKNOWN here:
        meta.setIsEmptyDirectory(
            hasChildren ? Tristate.FALSE : Tristate.UNKNOWN);
{noformat}

We have authoritative listings now in dynamo since HADOOP-15621, so we should resolve this comment, implement the solution and test it. ",gabor.bota
HADOOP-15987,ITestDynamoDBMetadataStore should check if test ddb table set properly before initializing the test,"The jira covers the following:
* We should assert that the table name is configured when DynamoDBMetadataStore is used for testing, so the test should fail if it's not configured.
* We should assert that the test table is not the same as the production table, as the test table could be modified and destroyed multiple times during the test.
* This behavior should be added to the testing docs.

[Assume from junit doc|http://junit.sourceforge.net/javadoc/org/junit/Assume.html]:
{noformat}
A set of methods useful for stating assumptions about the conditions in which a test is meaningful. 
A failed assumption does not mean the code is broken, but that the test provides no useful information. 
The default JUnit runner treats tests with failing assumptions as ignored.
{noformat}

A failed assert will cause test failure instead of just skipping the test.",gabor.bota
HADOOP-15985,LightWeightGSet.computeCapacity() doesn't correctly account for CompressedOops,"In this line: [https://github.com/apache/hadoop/blob/a55d6bba71c81c1c4e9d8cd11f55c78f10a548b0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/LightWeightGSet.java#L391], instead of checking if the platform is 32- or 64-bit, it should check if Unsafe.ARRAY_OBJECT_INDEX_SCALE is 4 or 8.

The result is that on 64-bit platforms, when Compressed Oops are on, LightWeightGSet is two times denser than it is configured to be.",jack-lee
HADOOP-15982,Support configurable trash location,"Currently some customer has users accounts that are functional ids (fid) to manage application and application data under the path /data/FID. These fid's also get a home directory under /user path. The user's home directories are limited with space quota 60 G. When these fids delete data, due to customer deletion policy they are placed in /user/<FID>/.Trash location and run over quota.

For now they are increasing quotas for these functional users, but considering growing applications they would like the .Trash location to be configurable or something like  /trash/\{userid} that is owned by the user.

What should the configurable path look like to make this happen? For example, some thoughts may relate whether we want to configure it for per user or per cluster, etc.

Here is current behavior:

fs.TrashPolicyDefault: Moved: 'hdfs://ns1/user/hdfs/test/1.txt to trash at: hdfs://ns1/user/hdfs/.Trash/Current/user/hdfs/test/1.txt

for path under encryption zone:

fs.TrashPolicyDefault: Moved: 'hdfs://ns1/scale/2.txt' to trash at hdfs://ns1/scale/.Trash/hdfs/Current/scale/2.txt

 ",ghuangups
HADOOP-15981,Add mutual TLS support for RPC,"The RPC server should allow optionally enabling mutual TLS as 1st class authentication.  If enabled, a client cert may provide the user's identity or fallback to kerberos or token.  Essentially the placeholder CERTIFICATE authentication method will be implemented and offered as an authentication method during connection negotiation.",daryn
HADOOP-15980,Enable TLS in RPC client/server,"Once the RPC client and server can be configured to use Netty, the TLS engine can be added to the channel pipeline.  The server should allow QoS-like functionality to determine if TLS is mandatory or optional for a client.",daryn
HADOOP-15979,Add Netty support to the RPC client,Adding Netty will allow later using a native TLS transport layer with much better performance than that offered by Java's SSLEngine.,daryn
